house_num,id,family,gendar,age,household,married,ethnicity,elementary,junior,high,university,monestary,health,cold,chronic,together,hours
89,1,2,1,38,0,1,2,1,0,0,0,0,2,0,0,1,9
89,2,1,0,46,1,1,2,5,0,0,0,0,2,1,0,1,9
89,3,3,1,23,0,0,2,5,1,0,0,0,4,0,0,1,9
89,4,4,0,20,0,0,2,4,0,0,0,0,2,0,0,1,9
90,1,1,0,49,1,1,2,4,0,0,0,0,3,0,0,1,9
90,2,2,1,49,0,1,2,4,0,0,0,0,2,5,0,1,9
90,3,4,0,23,0,1,2,4,4,2,0,0,2,2,0,1,9
90,4,4,0,17,0,0,2,4,4,0,0,0,2,2,0,1,9
91,1,2,1,41,0,1,2,4,0,0,0,0,1,5,0,999,999
91,2,1,0,45,1,1,2,2,0,0,0,0,3,0,0,1,8
91,3,3,1,16,0,0,2,4,0,0,0,0,2,0,0,1,8
91,4,4,0,10,0,0,2,4,0,0,0,0,2,5,0,999,999
92,1,1,0,53,1,1,2,4,0,0,0,0,4,0,0,1,9
92,2,2,1,56,0,1,2,4,0,0,0,0,4,0,0,999,999
92,3,3,1,32,0,1,2,4,0,0,0,0,999,0,0,999,999
92,4,4,0,23,0,1,2,4,4,2,0,0,999,0,0,999,999
92,5,3,1,7,0,0,2,3,0,0,0,0,999,0,0,999,999
134,1,2,1,43,0,1,2,5,2,0,0,3,2,1,0,1,4
134,2,1,0,50,1,1,2,5,2,0,0,3,2,1,0,1,4
134,3,4,0,20,0,0,2,5,4,1,0,2,2,0,0,1,4
134,4,3,1,10,0,0,2,5,0,0,0,2,2,0,0,0,0
135,1,1,1,61,1,1,2,5,1,0,0,5,2,0,0,1,4
135,2,2,0,57,0,1,2,5,0,0,0,0,2,0,0,1,4
136,1,8,0,64,1,1,2,5,4,2,0,0,1,0,0,1,9
136,2,8,1,55,0,1,2,5,0,0,0,0,1,0,0,1,9
136,3,1,0,35,0,1,2,5,4,2,0,0,1,0,0,0,0
136,4,2,1,38,0,1,2,5,2,0,0,0,1,0,0,1,9
136,5,4,0,9,0,0,2,5,0,0,0,0,999,0,0,0,0
136,6,3,1,7,0,0,2,2,0,0,0,0,999,0,0,0,0
137,1,1,0,67,1,1,2,5,2,0,0,0,2,0,0,1,7
137,2,2,1,64,0,1,2,5,0,0,0,0,2,0,0,1,7
137,3,4,0,41,0,1,2,5,4,1,0,0,2,0,0,1,7
137,4,3,1,37,0,0,2,5,4,2,1,0,2,0,0,1,7
137,5,8,1,35,0,1,2,1,0,0,0,0,2,0,0,1,7
137,6,8,0,6,0,0,2,0,0,0,0,0,999,0,0,0,0
138,1,1,0,53,1,1,2,5,4,0,0,0,2,1,0,1,8
138,2,2,1,52,0,1,2,5,1,0,0,0,2,0,0,1,8
138,3,3,1,19,0,1,2,5,4,1,0,0,2,0,0,1,8
138,4,8,0,20,0,1,2,5,4,2,0,0,2,0,0,1,8
139,1,1,0,60,1,1,2,5,4,0,0,0,2,0,0,1,10
139,2,6,0,59,0,0,2,4,0,0,0,0,2,0,0,1,10
139,3,5,1,58,0,0,2,4,0,0,0,0,2,0,0,1,10
139,4,5,1,57,0,0,2,4,0,0,0,0,2,0,0,1,10
140,1,2,999,61,0,1,2,5,0,0,0,0,3,1,0,1,9
140,2,1,999,61,1,1,2,5,0,0,0,0,4,1,0,1,9
140,3,4,999,30,0,0,2,5,4,2,0,0,2,1,0,1,9
140,4,3,999,21,0,0,2,5,4,2,0,0,4,1,0,1,9
141,1,1,0,85,1,1,2,5,1,0,0,0,2,0,0,1,6
141,2,2,1,83,0,1,2,4,0,0,0,0,2,0,0,1,6
141,3,3,1,59,0,0,2,5,4,0,0,0,2,0,0,1,6
141,4,3,1,51,0,0,2,5,0,0,0,0,2,0,0,1,6
142,1,1,0,46,1,1,2,5,4,2,4,0,2,0,0,0,2
142,2,2,1,44,0,1,2,5,4,2,4,0,2,0,0,0,0
142,3,3,1,14,0,0,2,5,4,1,0,0,2,0,0,0,0
142,4,4,0,7,0,0,2,2,0,0,0,0,2,0,0,0,0
143,1,1,0,34,0,1,2,4,4,2,0,0,2,7,0,1,12
143,2,2,1,26,0,1,2,4,4,2,0,0,2,7,0,1,12
143,3,7,0,70,1,1,2,4,0,0,0,0,2,0,0,0,0
143,4,7,1,70,0,1,2,4,0,0,0,0,2,0,0,0,0
143,5,4,1,2,0,0,2,4,0,0,0,0,999,7,0,0,0
153,1,7,0,82,1,1,2,0,0,0,0,7,2,0,0,0,0
153,2,7,1,75,0,1,2,4,0,0,0,0,4,0,1,0,0
153,3,2,1,54,0,1,2,5,2,0,0,0,2,0,0,1,7
153,4,3,1,27,0,1,2,5,4,2,3,0,2,0,0,0,0
153,5,3,1,26,0,0,2,5,4,2,3,0,2,0,0,0,7
153,6,4,0,23,0,0,2,5,4,2,0,0,2,0,0,1,7
153,7,8,0,32,0,1,2,5,3,0,0,0,2,0,0,1,7
153,8,8,1,4,0,0,2,0,0,0,0,0,2,0,0,0,0
153,9,8,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0
154,1,2,1,55,0,1,2,5,3,2,0,0,2,2,0,1,5
154,2,1,0,54,1,1,2,5,1,0,0,0,2,0,0,1,5
154,3,3,1,18,0,0,2,5,3,2,1,0,2,0,0,999,0
154,4,4,0,30,0,0,2,5,3,2,0,0,2,0,0,999,0
154,5,4,0,26,0,0,2,5,3,2,4,0,2,0,0,999,0
155,1,2,1,41,0,1,2,4,3,0,0,0,2,2,0,1,3
155,2,1,0,45,1,1,2,4,0,0,0,0,2,2,0,1,3
155,3,3,1,17,0,0,2,4,3,2,2,0,2,5,0,999,0
156,1,1,0,61,1,1,2,5,2,0,0,0,2,4,0,1,8
156,2,2,1,58,0,1,2,4,0,0,0,0,2,2,0,1,8
156,3,4,0,21,0,0,2,5,3,2,3,0,2,2,0,0,0
156,4,3,1,23,0,0,2,5,3,2,4,0,2,2,0,0,0
156,5,8,0,81,0,1,2,0,0,0,0,8,2,3,0,0,0
159,1,2,1,60,0,1,2,5,0,0,0,0,2,4.5,0,1,8
159,2,1,0,60,1,1,2,5,4,2,0,0,1,0,0,1,8
159,3,5,1,67,0,0,2,5,0,0,0,0,5,0,1,0,0
160,1,7,0,48,1,1,2,5,0,0,0,999,2,0,0,1,6
160,2,7,1,47,0,1,2,5,0,0,0,999,2,0,0,1,6
160,3,1,0,24,0,1,2,5,4,2,4,999,2,0,0,1,6
160,4,2,1,20,0,0,2,5,4,2,0,999,2,0,0,1,6
160,5,1,0,24,0,0,2,5,4,2,0,999,2,0,0,1,6
160,6,5,1,22,0,0,2,5,4,2,2,999,2,0,0,1,6
160,7,8,1,0,0,0,2,999,999,999,999,999,999,999,999,999,999
161,1,1,0,60,1,1,2,5,2,0,0,0,2,5,1,1,9
161,2,2,1,56,0,1,2,5,4,0,0,0,2,5,0,0,0
161,3,4,0,16,0,0,2,5,4,2,0,0,1,0,0,0,0
210,1,2,1,39,0,1,2,4,0,0,0,0,2,0,0,999,999
210,2,1,0,45,1,1,2,5,3,0,0,0,2,0,0,999,999
210,3,3,1,14,0,0,2,5,4,1,0,0,2,0,0,999,999
243,1,1,0,50,1,1,2,5,0,0,0,0,4,1,0,1,10
243,2,2,1,50,0,1,2,5,0,0,0,0,2,1,0,1,10
243,3,4,1,27,0,0,2,5,4,1,0,0,2,1,0,1,10
243,4,4,1,23,0,0,2,5,4,0,0,0,2,1,0,1,10
243,5,4,1,21,0,0,2,5,3,0,0,0,2,1,0,1,10
243,6,4,1,9,0,0,2,4,0,0,0,0,2,1,0,0,0
243,7,3,0,25,0,0,2,5,0,0,0,0,2,1,0,1,10
243,8,3,0,15,0,0,2,5,4,1,0,0,2,1,0,0,0
310,1,1,0,47,1,1,2,5,0,0,0,0,2,0,0,1,8
