house_num,year,an_income,mon_expense,savings,debt
89,2011,500000,100000,0,1
89,2012,800000,200000,0,1
89,2013,800000,200000,0,1
89,2014,800000,200000,0,1
89,2015,1000000,300000,0,1
90,2011,2000000,150000,0,1
90,2012,2000000,150000,0,1
90,2013,2000000,150000,0,1
90,2014,2000000,150000,0,1
90,2015,2000000,150000,0,1
91,2011,999,45000,0,0
91,2012,999,45000,0,0
91,2013,2000000,45000,0,0
91,2014,3000000,45000,0,0
91,2015,2000000,45000,0,0
92,2011,800000,60000,0,1
92,2012,800000,60000,0,1
92,2013,800000,60000,0,1
92,2014,800000,60000,0,1
92,2015,1000000,60000,0,1
134,2011,999,999,999,999
134,2012,999,999,999,999
134,2013,999,999,999,999
134,2014,999,999,999,999
134,2015,999,999,999,999
135,2011,1090000,150000,0,0
135,2012,1270000,150000,0,0
135,2013,1150000,150000,0,0
135,2014,60000,150000,0,0
135,2015,60000,150000,0,0
136,2011,20000000,210000,0,0
136,2012,20000000,210000,0,0
136,2013,20000000,210000,0,0
136,2014,40000000,210000,0,0
136,2015,30000000,210000,0,0
137,2011,3000000,200000,0,1
137,2012,3000000,200000,0,1
137,2013,3000000,200000,0,1
137,2014,3000000,200000,0,1
137,2015,8000000,200000,0,1
138,2011,400000,25000,0,0
138,2012,400000,25000,0,0
138,2013,400000,25000,0,0
138,2014,400000,25000,0,0
138,2015,600000,25000,0,0
139,2011,100000,20000,0,0
139,2012,100000,20000,0,0
139,2013,100000,20000,0,0
139,2014,100000,20000,0,0
139,2015,100000,20000,0,0
140,2011,500000,100000,0,1
140,2012,500000,100000,0,1
140,2013,2000000,100000,0,1
140,2014,2000000,100000,0,1
140,2015,2000000,100000,0,1
141,2011,500000,60000,0,0
141,2012,500000,60000,0,0
141,2013,500000,60000,0,0
141,2014,500000,60000,0,0
141,2015,1000000,60000,0,0
142,2011,4500000,300000,0,1
142,2012,4500000,300000,0,1
142,2013,4500000,300000,0,1
142,2014,4500000,300000,0,1
142,2015,4500000,300000,0,1
143,2011,750000,90000,0,0
143,2012,750000,90000,0,0
143,2013,750000,90000,0,0
143,2014,600000,90000,0,0
143,2015,900000,90000,0,0
153,2011,8000000,300000,0,1
153,2012,8000000,300000,0,1
153,2013,8000000,300000,0,1
153,2014,7000000,300000,0,1
153,2015,10000000,300000,0,1
154,2011,16000000,2400000,0,1
154,2012,16000000,2400000,0,1
154,2013,32000000,2400000,0,1
154,2014,32000000,2400000,0,1
154,2015,32000000,2400000,0,1
155,2011,10000000,70000,0,1
155,2012,10000000,70000,0,1
155,2013,10000000,70000,0,1
155,2014,10000000,70000,0,1
155,2015,10000000,70000,0,1
156,2011,3000000,300000,0,1
156,2012,3000000,300000,0,1
156,2013,3000000,300000,0,1
156,2014,3000000,300000,0,1
156,2015,3000000,300000,0,1
159,2011,5500000,300000,0,1
159,2012,5500000,300000,0,1
159,2013,5500000,300000,0,1
159,2014,4000000,300000,0,1
159,2015,7000000,300000,0,1
160,2011,4000000,210000,1,0
160,2012,4000000,210000,1,0
160,2013,4000000,210000,1,0
160,2014,4000000,210000,1,0
160,2015,4000000,210000,1,0
161,2011,1900000,193000,0,1
161,2012,1900000,193000,0,1
161,2013,1900000,193000,0,1
161,2014,1900000,193000,0,1
161,2015,1900000,193000,0,1
210,2011,1500000,100000,0,1
210,2012,1500000,100000,0,1
210,2013,1500000,100000,0,1
210,2014,1500000,100000,0,1
210,2015,1500000,100000,0,1
243,2011,2000000,80000,0,1
243,2012,2000000,80000,0,1
243,2013,3500000,80000,0,1
243,2014,3000000,80000,0,1
243,2015,4500000,80000,0,1
310,2011,1000000,30000,0,1
310,2012,1000000,30000,0,1
310,2013,1000000,30000,0,1
310,2014,1000000,30000,0,1
310,2015,1000000,30000,0,1
326,2011,1000000,90000,0,1
326,2012,1000000,90000,0,1
326,2013,1000000,90000,0,1
326,2014,1000000,90000,0,1
326,2015,1000000,90000,0,1
327,2011,1800000,150000,0,0
327,2012,1800000,150000,0,0
327,2013,1800000,150000,0,0
327,2014,1800000,150000,0,0
327,2015,1800000,150000,0,0
328,2011,1200000,16000,0,0
328,2012,1200000,16000,0,0
