house_num,year,agri,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,main_crop,acres,paddy_acres,sugar_acre,sesami_acres,nuts_acres,rice_harvest,sugar_harvest,sesami_harvest,nuts_harvest,sugartype,factory,irrigation,power_tiller,tractor,combine,nonagri_job
89,2006,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2007,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2008,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2009,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2010,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2011,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2012,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,0,0,0
89,2013,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,3,0,0
89,2014,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,1,1,0,0,3,0,0
89,2015,0,0,1,0,0,0,0,2,3,999,3,999,999,999,30,999,999,5,1,0,0,3,0,0
90,2006,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,3
90,2007,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,3
90,2008,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,3
90,2009,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,3
90,2010,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,3
90,2011,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,0
90,2012,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,0
90,2013,0,1,1,1,1,0,0,2,12,2.5,3,4,2,100,50,19,30,5,1,999,0,0,3,0
90,2014,0,1,1,1,1,0,0,2,12,2.5,3,4,2,0,50,19,30,5,1,999,0,0,3,0
90,2015,0,1,1,1,1,0,0,2,12,2.5,3,4,2,150,50,20,30,5,1,999,0,0,3,0
91,2006,0,0,0,1,1,0,0,3,1,999,999,1,1,999,999,999,30,999,999,0,0,3,3,0
91,2007,0,0,0,1,1,0,0,3,1,999,999,1,1,999,999,999,30,999,999,0,0,3,3,0
91,2008,0,0,0,1,1,0,0,3,1,999,999,1,1,999,999,999,30,999,999,0,0,3,3,0
91,2009,0,0,0,1,1,0,0,3,1,999,999,1,1,999,999,999,30,999,999,0,0,3,3,0
91,2010,0,0,0,1,1,0,0,3,1,999,999,1,1,999,999,999,30,999,999,0,0,3,3,0
