house_num,unit1,unit2,unit3,unit4,dist_nawaday,dist_exceptnawaday,dist_mainroad,dist_pyae,belong,howmanyyears,switch,ratoon,wall,roof,onefloor,bicycle,motor,car,chiken,pig,cow,fan,refri,computer,mobile,radio,tv,planning_for_sugar,low_price,transport,labou_cost,wait_factory,attractive_crop
89,999,4,999,999,1,30,1.5,2,1,20,0,2,3,3,1,0,1,0,25,0,3,0,0,0,1,0,1,1,0,1,1,1,2
90,3,4,3,3,5,998,4,8,1,25,0,1.5,2,3,1,0,1,0,0,0,2,0,0,0,1,0,1,999,999,999,999,999,2
91,999,999,3,3,5,999,5,8,0,999,999,999,2,3,1,0,1,0,0,0,2,0,0,0,1,0,1,999,0,1,0,1,3
92,999,4,3,999,3,998,0.5,2.5,1,35,0,1,2,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2
134,3,999,3,999,999,999,2,6,1,20,0,0,5,5,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,5
135,3,999,999,3,28,5,2,12,1,20,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
136,3,4,3,999,38,5,2,12,1,20,1,1,5,3,1,2,2,1,50,0,2,2,0,0,3,0,1,0,0,0,0,0,6
137,3,4,999,3,28,8,5,23,1,50,0,2,3,3,1,1,3,0,8,0,2,2,1,0,1,0,1,1,0,1,0,1,2
138,999,999,999,999,14,5,1,12,1,40,999,999,2,3,1,1,1,0,0,0,0,1,0,0,1,1,2,999,999,999,999,999,999
139,999,999,999,999,8,5,1,4,1,80,999,999,2,3,0,1,1,0,0,0,0,2,0,0,0,1,1,999,999,999,999,999,999
140,999,4,999,3,5,3,1.5,4,1,40,0,3,3,3,1,1,1,0,20,0,2,1,1,0,1,1,1,0,0,1,0,0,1
141,3,999,999,999,8,1.5,2,14,1,80,999,999,4,3,1,1,0,0,0,0,2,1,0,0,1,0,1,999,999,999,999,999,6
142,3,4,999,999,18,7,2,12,1,5,1,1,4,3,1,1,2,0,0,20,0,2,0,0,1,0,1,0,1,1,0,1,1
143,3,999,3,999,14,4,0.57,12,1,998,999,999,4,3,1,3,0,0,0,0,0,0,0,0,1,1,1,0,999,999,999,999,1
153,3,4,999,3,19,7,1,12,1,80,0,2,3,3,1,1,2,1,10,0,4,1,1,0,1,1,1,0,0,1,1,1,1
154,3,999,3,999,20,5,0.3,12,1,998,0,999,5,3,1,1,2,0,15,0,0,1,0,0,1,1,1,0,0,1,1,1,1
155,999,999,999,999,20,7,0,15,1,70,0,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
156,3,4,3,999,15,7,0,15,1,998,0,1,2,3,1,0,2,0,0,0,2,0,0,0,1,1,1,0,0,1,1,0,2
159,3,4,3,999,20,7,1,11,1,998,0,2,4,3,1,3,3,0,50,0,3,1,0,0,1,0,1,0,0,1,0,0,1
160,3,999,3,999,13,7.5,1.5,11,1,998,0,0,4,3,1,1,2,0,30,0,5,0,1,0,1,0,1,0,1,1,0,0,5
161,3,999,3,999,19,8,1.5,11,1,998,0,0,4,3,1,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1
210,3,999,999,999,24,16,0,22,1,16,0,999,2,3,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,1,1,1
243,3,4,999,999,29,20,0.5,25,1,40,1,2,4,3,1,3,1,0,15,1,2,0,0,0,3,0,1,0,0,1,0,0,1
310,3,999,999,999,29,20,0.5,25,1,50,0,999,2,3,0,0,0,0,10,0,4,0,0,0,1,1,0,0,0,0,0,0,1
326,3,999,999,999,25,16,0,22,0,999,0,999,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,2
327,3,999,999,999,26,5,0,26,1,18,0,999,2,3,0,2,1,0,5,3,0,0,0,0,2,0,1,1,0,1,0,0,2
328,999,999,999,999,999,999,999,999,0,999,999,999,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,1,1
329,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,1,1,1
338,3,999,999,999,25,5,0,23,1,10,999,999,2,3,0,0,0,0,10,0,3,0,0,0,1,0,0,1,0,1,1,1,1
348,3,999,999,999,14,6,4,20,1,10,0,0,4,4,1,0,1,0,30,2,4,0,0,0,1,1,1,0,999,999,999,999,1
349,999,999,999,999,999,999,999,999,999,999,999,999,2,4,0,1,1,0,0,2,0,0,0,0,0,0,1,999,999,999,999,999,999
350,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1
352,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
353,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
375,3,4,999,999,11,18,1,8,1,10,0,1,2,3,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1
