house_num,cook,peanut,sesami,soybean,palm,mixed,other,peanut_price,sesami_price,soybean_price,palm_price,mixed_price,other_price,peanut_amount,sesami_amount,soybean_amount,palm_amount,mixed_amount,other_amount,price_healthy,produce_oil,meal,masmedia,health_info,smoking,madical_person,peanut,sesami,palm
89,3,0,1,0,0,0,0,0,5000,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,0,1,3,3,3
90,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,2,2,2
91,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,0,0,1,0,3,1,1,0,0,2,2,2
92,2,0,1,0,0,1,0,0,3600,0,0,2400,0,0,1,0,0,1,0,1,0,3,1,0,1,0,2,2,2
134,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,2.5,0,0,0,0,1,0,3,0,0,1,0,3,3,2
135,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,2,0,1,0,3,0,0,1,0,3,3,999
136,8,0,1,0,0,0,0,0,6000,0,0,0,0,0,3,0,0,0,0,1,0,2,1,1,0,0,3,3,3
137,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,4,0,0,0,0,0,0,3,1,1,0,0,3,3,3
138,2,0,1,0,0,0,0,0,3400,0,0,0,0,0,1.5,0,0,0,0,1,0,3,1,1,0,0,3,3,3
139,3,0,1,0,0,0,0,0,3000,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,3,3,3
140,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1,0,0,3,3,3
141,2,0,1,0,1,0,0,0,5800,0,3000,0,0,0,1.5,0,1.5,0,0,1,0,3,1,1,0,0,3,3,3
142,2,1,1,0,0,1,0,5000,5800,0,0,2000,0,1,1,0,0,1,0,1,0,3,1,0,0,0,3,3,3
143,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,3,3,3
153,3,1,0,0,0,0,0,4000,0,0,0,0,0,10,0,0,0,0,0,1,0,3,1,1,0,1,2,2,3
154,1,1,1,0,0,0,0,4000,5000,0,0,0,0,3,0.25,0,0,0,0,1,0,3,0,0,0,0,2,2,3
155,1,0,1,0,0,0,0,0,5000,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,3,1,3
156,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,1,0.5,3,1,1,0,0,2,1,3
159,1,1,0,0,0,0,0,5000,0,0,0,0,0,3,0,0,0,0,0,1,15,3,0,999,0,0,3,3,3
160,2,1,1,0,0,0,0,5000,6000,0,0,0,0,2,2,0,0,0,0,1,5,3,1,1,0,0,3,3,3
